Date,MaxT,MinT,AverageT
2019.5.1,24.465363,18.05265,21.158197
2019.5.2,24.115662,17.660439,20.817617
2019.5.3,23.092712,16.406029,19.728151
2019.5.4,21.347147,14.437649,17.918749
2019.5.5,19.25258,12.121543,15.7094
2019.5.6,18.425873,11.260709,14.8713045
2019.5.7,17.470573,10.234925,13.857015
2019.5.8,15.245009,7.5791483,11.314208
2019.5.9,13.9004755,5.633792,9.626617
2019.5.10,15.01908,6.921862,10.794339
2019.5.11,17.453087,9.74266,13.440873
2019.5.12,19.716171,12.399312,16.011595
2019.5.13,21.482004,14.425977,17.930754
2019.5.14,23.09793,16.256733,19.614988
2019.5.15,24.742847,18.21352,21.338655
2019.5.16,24.8497,18.389732,21.473509
2019.5.17,25.721367,19.787811,22.546825
2019.5.18,25.748348,19.74236,22.547258
2019.5.19,24.611494,18.200405,21.305265
2019.5.20,22.472603,15.618593,19.020304
2019.5.21,21.886635,14.9073515,18.373562
2019.5.22,24.014662,17.346783,20.585821
2019.5.23,24.043377,17.382715,20.612934
2019.5.24,24.45475,17.896553,21.057829
2019.5.25,25.534204,19.320518,22.231611
2019.5.26,26.24009,20.267262,22.992086
2019.5.27,25.51119,19.287998,22.20295
2019.5.28,25.482632,19.288857,22.192938
2019.5.29,26.26567,20.342846,23.042799
2019.5.30,26.349976,20.462448,23.13967
2019.5.31,24.941017,18.481426,21.56322
2019.6.1,25.266552,18.873669,21.893507
2019.6.2,26.645096,20.77187,23.402376
2019.6.3,26.802418,21.032257,23.596786
2019.6.4,27.143044,21.462793,23.958147
2019.6.5,27.422966,21.81593,24.259714
2019.6.6,26.967075,21.155455,23.726866
2019.6.7,26.413534,20.493332,23.158773
2019.6.8,27.654495,22.228504,24.568237
2019.6.9,27.913307,22.57365,24.871475
2019.6.10,26.963892,21.28326,23.807072
2019.6.11,24.5988,18.084114,21.219645
2019.6.12,24.558731,18.148811,21.243723
2019.6.13,24.82866,18.644682,21.62009
2019.6.14,23.81432,17.28056,20.497843
2019.6.15,21.921642,15.027253,18.47716
2019.6.16,20.719833,13.531272,17.093077
2019.6.17,21.40918,14.323506,17.83406
2019.6.18,23.830343,17.116673,20.37823
2019.6.19,25.69202,19.480463,22.374083
2019.6.20,26.459831,20.590305,23.239416
2019.6.21,25.99202,19.932297,22.718811
2019.6.22,26.590408,20.680162,23.337423
2019.6.23,27.45004,21.822338,24.268456
2019.6.24,27.143085,21.355938,23.888517
2019.6.25,28.580063,23.277023,25.533209
2019.6.26,28.87706,23.731848,25.92164
2019.6.27,28.916903,23.83957,25.999308
2019.6.28,28.94505,23.882877,26.035095
2019.6.29,28.955538,23.898575,26.048147
2019.6.30,28.94942,23.906605,26.048998
2019.7.1,28.962006,23.930004,26.067091
2019.7.2,28.961788,23.936527,26.070097
2019.7.3,28.83704,23.842495,25.961586
2019.7.4,28.821571,23.806927,25.940685
2019.7.5,28.87349,23.796497,25.961351
2019.7.6,28.82185,23.6516,25.856613
2019.7.7,28.6445,23.325794,25.58752
2019.7.8,28.939999,23.806503,25.988777
2019.7.9,29.003284,23.977005,26.111578
2019.7.10,29.024097,23.99453,26.1313
2019.7.11,29.036549,24.010674,26.145739
2019.7.12,29.037764,24.010757,26.14619
2019.7.13,29.022526,23.998611,26.132393
2019.7.14,29.043064,24.02683,26.156506
2019.7.15,29.064085,24.04046,26.173792
2019.7.16,29.05707,24.036423,26.168234
2019.7.17,29.04168,24.028873,26.15687
2019.7.18,29.040628,24.02923,26.156576
2019.7.19,29.053528,24.036121,26.166433
2019.7.20,29.05753,24.039732,26.170404
2019.7.21,29.046879,24.034859,26.162638
2019.7.22,29.045021,24.033783,26.161188
2019.7.23,29.036995,24.024853,26.152025
2019.7.24,29.02729,24.007626,26.13804
2019.7.25,28.945915,23.936024,26.062479
2019.7.26,28.990942,23.941486,26.089819
2019.7.27,28.959442,23.883255,26.043818
2019.7.28,28.923359,23.814835,25.988428
2019.7.29,28.972193,23.86321,26.035166
2019.7.30,29.049229,24.0253,26.159098
2019.7.31,29.051632,24.02533,26.160297
2019.8.1,29.056753,24.029501,26.164831
2019.8.2,29.05349,24.03725,26.167122
2019.8.3,29.057594,24.036636,26.16862
2019.8.4,28.955383,23.955585,26.07554
2019.8.5,28.932072,23.919125,26.048428
2019.8.6,28.964046,23.905045,26.058727
2019.8.7,28.945936,23.806923,25.996904
2019.8.8,28.826897,23.631136,25.843298
2019.8.9,28.932135,23.853712,26.011877
2019.8.10,29.006088,23.985477,26.11762
2019.8.11,29.025173,24.014584,26.14161
2019.8.12,29.036278,24.02356,26.151392
2019.8.13,29.033195,24.018433,26.147316
2019.8.14,28.995136,23.990585,26.114038
2019.8.15,28.876076,23.890055,26.00517
2019.8.16,28.84375,23.826458,25.96131
2019.8.17,28.827366,23.73442,25.907562
2019.8.18,28.730433,23.479977,25.721815
2019.8.19,28.573906,23.221346,25.49928
2019.8.20,28.88775,23.67066,25.890337
2019.8.21,28.960121,23.899036,26.05003
2019.8.22,29.035282,23.999264,26.139023
2019.8.23,29.04734,24.032299,26.161562
2019.8.24,29.054771,24.034466,26.16629
2019.8.25,29.011545,24.00973,26.132093
2019.8.26,29.030903,24.014433,26.143984
2019.8.27,29.04877,24.018944,26.155876
2019.8.28,29.052036,24.004135,26.149822
2019.8.29,28.987955,23.957647,26.093645
2019.8.30,28.884686,23.890356,26.00907
2019.8.31,28.926483,23.90131,26.037214
2019.9.1,28.963,23.880035,26.045172
2019.9.2,28.894085,23.749743,25.941965
2019.9.3,28.847755,23.683655,25.882696
2019.9.4,28.9488,23.889236,26.039656
2019.9.5,29.00724,23.968937,26.109816
2019.9.6,29.00734,23.970901,26.110394
2019.9.7,28.976364,23.97122,26.094408
2019.9.8,28.840912,23.858877,25.972063
2019.9.9,28.752472,23.747095,25.876537
2019.9.10,28.698929,23.598883,25.778717
2019.9.11,28.292849,22.998787,25.26517
2019.9.12,26.972292,21.258709,23.781324
2019.9.13,27.047146,21.300991,23.831757
2019.9.14,27.937778,22.486885,24.824219
2019.9.15,27.915703,22.464737,24.799383
2019.9.16,28.002102,22.599678,24.908152
2019.9.17,28.364422,23.181644,25.397707
2019.9.18,28.017952,22.772774,25.026579
2019.9.19,27.14154,21.530027,24.012074
2019.9.20,25.132624,18.71585,21.771616
2019.9.21,23.710733,16.879837,20.184958
2019.9.22,24.98022,18.459131,21.54246
2019.9.23,28.00094,22.733074,24.988798
2019.9.24,27.852966,22.647354,24.893904
2019.9.25,26.265919,20.47406,23.133478
2019.9.26,22.433947,15.618836,19.017464
2019.9.27,20.948742,13.837676,17.376905
2019.9.28,21.825,14.76475,18.255783
2019.9.29,24.007984,17.290695,20.540356
2019.9.30,25.093956,18.68509,21.723309
2019.10.1,26.65041,20.83392,23.437578
2019.10.2,27.339073,21.841587,24.241858
2019.10.3,25.796955,19.688671,22.532425
2019.10.4,25.009174,18.499645,21.600893
2019.10.5,25.087418,18.635052,21.690355
2019.10.6,25.93203,19.768267,22.5962
2019.10.7,28.341702,23.05333,25.3122
2019.10.8,28.4869,23.26943,25.501534
2019.10.9,27.248003,21.660751,24.100758
2019.10.10,26.839186,21.228264,23.720076
2019.10.11,25.816586,19.975838,22.691507
2019.10.12,24.151884,17.722986,20.877089
2019.10.13,21.278599,14.317927,17.817251
2019.10.14,20.042618,12.841046,16.423687
2019.10.15,20.392303,13.271018,16.82873
2019.10.16,21.350426,14.41816,17.9038
2019.10.17,21.186977,14.235463,17.734045
2019.10.18,20.566357,13.52232,17.063639
2019.10.19,20.017206,12.877475,16.452219
2019.10.20,19.523123,12.39269,15.980588
2019.10.21,19.596199,12.405362,16.008965
2019.10.22,19.130459,11.835349,15.462831
2019.10.23,18.94141,11.575934,15.212514
2019.10.24,19.370287,11.994317,15.618411
2019.10.25,21.09974,14.080441,17.593544
2019.10.26,21.37674,14.41356,17.904522
2019.10.27,21.725039,14.834198,18.290352
2019.10.28,21.532795,14.673816,18.128447
2019.10.29,20.071571,13.004845,16.564417
2019.10.30,19.277065,12.121284,15.721725
2019.10.31,18.486797,11.211227,14.845569
2019.11.1,17.63231,10.225856,13.87784
2019.11.2,17.685352,10.168247,13.840016
2019.11.3,18.050173,10.543008,14.205058
2019.11.4,18.80183,11.425461,15.061959
2019.11.5,19.72605,12.517285,16.11235
2019.11.6,20.670631,13.678863,17.206156
2019.11.7,20.350708,13.244655,16.809008
2019.11.8,19.463858,12.240878,15.848855
2019.11.9,19.144512,11.89055,15.507075
2019.11.10,19.021381,11.791813,15.408866
2019.11.11,18.947857,11.791004,15.39833
2019.11.12,17.004307,9.650254,13.286048
2019.11.13,15.970299,8.481095,12.141185
2019.11.14,15.2212305,7.4744377,11.227658
2019.11.15,14.534991,6.6684422,10.481491
2019.11.16,14.431306,6.5670705,10.382883
2019.11.17,14.616678,6.9565773,10.691822
2019.11.18,14.442197,6.789075,10.531789
2019.11.19,12.829034,4.813033,8.747505
2019.11.20,11.947093,3.7946634,7.811884
2019.11.21,11.101022,2.9107766,6.961828
2019.11.22,11.015957,2.8161855,6.87426
2019.11.23,10.965989,2.6505752,6.7595396
2019.11.24,11.272805,2.8875089,7.0183525
2019.11.25,11.805825,3.3651824,7.5057507
2019.11.26,12.84589,4.6328053,8.642986
2019.11.27,13.6977,5.7377515,9.617835
2019.11.28,14.019883,6.1879697,10.007293
2019.11.29,13.060582,5.1798506,9.048642
2019.11.30,12.259917,4.106533,8.119336
2019.12.1,12.499438,4.129513,8.223423
2019.12.2,12.86955,4.447941,8.542493
2019.12.3,12.70307,4.4967465,8.497344
2019.12.4,14.675923,6.982668,10.725808
2019.12.5,14.81396,7.4196663,11.057369
2019.12.6,11.832477,3.99679,7.8811994
2019.12.7,9.569911,1.6207702,5.5744505
2019.12.8,8.894852,1.1515195,5.004555
2019.12.9,8.439529,0.7645721,4.575653
2019.12.10,8.343703,0.6928188,4.4912777
2019.12.11,8.292649,0.67792225,4.4596515
2019.12.12,8.267932,0.69222647,4.4559355
2019.12.13,8.190234,0.64187723,4.3857794
2019.12.14,8.2789755,0.6620278,4.4410195
2019.12.15,8.4549885,0.76548415,4.5844746
2019.12.16,8.536093,0.85841054,4.678126
2019.12.17,8.877187,1.1039078,4.975333
2019.12.18,9.362092,1.3833876,5.349453
2019.12.19,9.586401,1.5659273,5.5553703
2019.12.20,9.568367,1.5506554,5.5388393
2019.12.21,9.411885,1.462086,5.417921
2019.12.22,9.09556,1.2430162,5.148011
2019.12.23,9.051452,1.1616938,5.0817165
2019.12.24,9.095546,1.1678743,5.105323
2019.12.25,8.596486,0.8915321,4.7194147
2019.12.26,8.416841,0.8253404,4.5978227
2019.12.27,8.348683,0.78621656,4.5425143
2019.12.28,7.661307,0.38749826,3.9968243
2019.12.29,7.5904016,0.3505696,3.9413838
2019.12.30,7.506875,0.31371352,3.8811028
2019.12.31,7.4522524,0.28729597,3.8401604
,,,
Mean,16.83879311,9.90174547,13.26151293
